Height,Foot,Gender
68,12,
66,9,
75,12,
71,11,
67,12,
65,8.5,
67,9,
75,13,
72,11,
74,12,
72,12,
75,12,
69,10,
70,11,
65,10,
64,8,
68,9,
73,11,
70,8,
76,12,
64,8,
64,9,
66,11,
63,10,
68,9,
62,9,
72,11,
74,11,
76,12,
69,10,
65,8,
65,7,
64,9,
66,10,
64,13,
72,12,
74,11,
68,10,
67,12,
74,12,
61,9,
67,9,
76,13,
72,12,
65,8,
69,10,
70,9,
66,11,
73,15,
67,12,
70,12,
76,12,
64,9,
63,13,
72,13,
68,10,
64,9.5,
67,9,
68,11,
62,9,
64,9,
71,10,
73,11,
67,12,
72,11.5,
65,8.5,
64,6,
71,10.75,
70,10,
71,11,
72,11,
65,8,
63,7,
72,11,
75,12,
60,6,
62,8,
52,12,
68,12,
66,9,
63,10,
74,11.5,
64,8,
73,12,
66,12,
66,9,
68,11,
60,9,
72,12,
80,10,
62,9,
60,7.5,
72,11,
61,8.5,
66,11,
67,11,
60,8,
63,10,
60,12,
68,9,
77,13,
67,13,
64,8.5,
62,9,
63,7,
62,7,
64,9,
68,10,
72,11,
67,12,
75,11.5,
67,10,
72,10,
67,9,
72,13,
68,9,
65,10,
69,10,
53,9,
61,7,
74,12,
71,11,
74,16,
55,8,
69,9,
68,9.5,
73,12,
62,7,
74,13,
75,12.5,
67,9.4,
76,13,
65,9,
63,7,
75,13,
66,8,
54,7,
71,10,
68,10,
62,8,
72,14,
69,9,
67,11,
65,8,
67,9.5,
60,8,
63,10,
69,9.5,
65,11,
73,11,
71,12,
64,8,
63,7,
67,10,
63,12,
66,10.5,
61,9,
68.5,10,
69,11,
65,7,
70,14,
65,11,
77,10,
64,9,
68,9.5,
71,10,
70,9,
67,8,
70,11,
72,12,
64,9,
69,10,
64,9.5,
65,9,
77,13,
74,11,
65,8.5,
68,10,
71,11,
67,9,
64,7.5,
68,12,
60,9.5,
73,13,
71,11.5,
67,10,
61.5,8.5,
74,10.5,
66,6,
70,11,
73,11,
65.5,9.5,
69,11,
68,9,
63,9,
70,9,
62,7.5,
66,12,
70,10,
